Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,SeasonInt
Brazil,Serie A,2026,13/02/2026,00:30,Internacional,Palmeiras,1.0,3.0,A,,,,3.2,3.5,2.35,3.03,3.31,2.27,3.3,3.5,2.38,3.1,3.4,2.25,2026
Brazil,Serie A,2026,19/02/2026,22:30,Athletico-PR,Corinthians,0.0,1.0,A,,,,2.66,3.0,3.0,2.59,2.92,2.89,2.74,3.15,3.1,2.57,3.0,2.85,2026
Brazil,Serie A,2026,25/02/2026,22:00,Bragantino,Athletico-PR,1.0,1.0,D,,,,2.1,3.3,3.9,2.02,3.2,3.71,2.1,3.45,4.1,2.01,3.3,3.9,2026
Brazil,Serie A,2026,25/02/2026,22:00,Remo,Internacional,1.0,1.0,D,,,,3.4,3.45,2.25,3.22,3.34,2.14,3.5,3.55,2.28,3.25,3.4,2.15,2026
Brazil,Serie A,2026,25/02/2026,22:30,Coritiba,Sao Paulo,0.0,1.0,A,,,,2.6,3.2,3.14,2.5,3.04,2.9,2.66,3.15,3.2,2.5,3.1,3.0,2026
Brazil,Serie A,2026,25/02/2026,23:00,Cruzeiro,Corinthians,1.0,1.0,D,,,,1.74,3.6,5.5,1.7,3.48,5.03,1.77,3.7,5.9,1.66,3.5,5.5,2026
Brazil,Serie A,2026,26/02/2026,00:30,Gremio,Atletico-MG,2.0,1.0,H,,,,2.25,3.33,3.4,2.19,3.22,3.22,2.32,3.4,3.6,2.1,3.3,3.4,2026
Brazil,Serie A,2026,26/02/2026,00:30,Palmeiras,Fluminense,2.0,1.0,H,,,,1.7,3.9,5.33,1.65,3.71,5.01,1.74,3.95,5.7,1.62,3.9,5.0,2026
Brazil,Serie A,2026,26/02/2026,22:00,Santos,Vasco,2.0,1.0,H,,,,2.05,3.5,3.75,2.02,3.35,3.56,2.16,3.55,3.85,2.01,3.4,3.75,2026
Brazil,Serie A,2026,11/03/2026,00:30,Mirassol,Santos,2.0,2.0,D,,,,1.77,3.7,4.8,1.73,3.62,4.5,1.82,3.85,5.1,1.66,3.7,4.75,2026
Brazil,Serie A,2026,11/03/2026,22:00,Atletico-MG,Internacional,1.0,0.0,H,,,,2.1,3.5,3.8,2.03,3.37,3.51,2.12,3.6,3.9,2.01,3.4,3.7,2026
Brazil,Serie A,2026,11/03/2026,23:00,Bahia,Vitoria,1.0,1.0,D,,,,1.74,3.75,5.5,1.68,3.58,4.93,1.79,3.8,5.5,1.66,3.6,5.25,2026
Brazil,Serie A,2026,12/03/2026,00:30,Corinthians,Coritiba,0.0,2.0,A,,,,1.68,3.75,6.1,1.63,3.61,5.46,1.69,3.85,6.6,1.62,3.75,5.0,2026
Brazil,Serie A,2026,12/03/2026,00:30,Flamengo RJ,Cruzeiro,2.0,0.0,H,,,,1.52,4.33,7.5,1.47,4.08,6.64,1.53,4.5,7.6,1.45,4.2,6.5,2026
Brazil,Serie A,2026,12/03/2026,22:00,Remo,Fluminense,0.0,2.0,A,,,,4.25,3.66,1.95,3.92,3.52,1.87,4.3,3.65,2.0,4.0,3.5,1.86,2026
Brazil,Serie A,2026,12/03/2026,22:30,Vasco,Palmeiras,2.0,1.0,H,,,,3.2,3.3,2.4,3.0,3.21,2.33,3.3,3.35,2.5,3.1,3.25,2.4,2026
Brazil,Serie A,2026,12/03/2026,23:00,Sao Paulo,Chapecoense-SC,2.0,0.0,H,,,,1.46,4.6,8.0,1.41,4.43,7.11,1.45,5.0,8.6,1.39,4.5,7.5,2026
Brazil,Serie A,2026,13/03/2026,00:30,Gremio,Bragantino,1.0,1.0,D,,,,2.3,3.4,3.33,2.21,3.29,3.12,2.34,3.45,3.45,2.15,3.4,3.2,2026
Brazil,Serie A,2026,14/03/2026,21:30,Vitoria,Atletico-MG,2.0,0.0,H,,,,2.4,3.1,3.33,2.33,3.01,3.15,2.52,3.15,3.4,2.32,3.1,3.25,2026
Brazil,Serie A,2026,14/03/2026,23:30,Botafogo RJ,Flamengo RJ,0.0,3.0,A,,,,4.2,3.4,2.0,3.97,3.25,1.93,4.6,3.4,2.02,4.1,3.3,1.91,2026
Brazil,Serie A,2026,15/03/2026,19:00,Fluminense,Athletico-PR,3.0,2.0,H,,,,1.89,3.5,5.0,1.78,3.39,4.53,1.87,3.5,5.3,1.79,3.4,4.75,2026
Brazil,Serie A,2026,15/03/2026,19:00,Internacional,Bahia,0.0,1.0,A,,,,1.85,3.75,4.33,1.8,3.62,4.04,1.88,3.85,4.6,1.76,3.75,4.33,2026
Brazil,Serie A,2026,15/03/2026,19:00,Santos,Corinthians,1.0,1.0,D,,,,2.6,3.2,3.1,2.48,3.02,2.92,2.68,3.2,3.1,2.57,3.0,3.0,2026
Brazil,Serie A,2026,15/03/2026,21:30,Coritiba,Remo,1.0,0.0,H,,,,1.78,3.7,5.1,1.72,3.56,4.63,1.82,3.75,5.3,1.66,3.5,5.0,2026
Brazil,Serie A,2026,15/03/2026,21:30,Palmeiras,Mirassol,1.0,0.0,H,,,,1.68,3.9,5.5,1.63,3.76,5.09,1.7,4.0,5.9,1.61,3.75,5.5,2026
Brazil,Serie A,2026,15/03/2026,23:30,Bragantino,Sao Paulo,1.0,2.0,A,,,,2.42,3.2,3.2,2.36,3.08,3.04,2.54,3.2,3.35,2.35,3.1,3.2,2026
Brazil,Serie A,2026,15/03/2026,23:30,Cruzeiro,Vasco,3.0,3.0,D,,,,1.95,3.4,4.5,1.88,3.27,4.14,1.99,3.45,4.7,1.91,3.4,4.2,2026
Brazil,Serie A,2026,16/03/2026,23:00,Chapecoense-SC,Gremio,1.0,1.0,D,,,,3.1,3.5,2.38,2.91,3.35,2.29,3.2,3.55,2.44,2.85,3.4,2.3,2026
Brazil,Serie A,2026,18/03/2026,22:00,Bahia,Bragantino,2.0,0.0,H,,,,1.68,3.8,5.5,1.64,3.69,5.13,1.71,3.95,6.0,1.66,3.7,5.25,2026
Brazil,Serie A,2026,18/03/2026,22:00,Palmeiras,Botafogo RJ,2.0,1.0,H,,,,1.53,4.3,7.0,1.49,4.06,6.24,1.56,4.5,7.0,1.51,4.0,6.25,2026
Brazil,Serie A,2026,18/03/2026,22:30,Athletico-PR,Cruzeiro,2.0,1.0,H,,,,2.22,3.3,4.0,2.11,3.2,3.45,2.24,3.35,3.85,2.1,3.2,3.6,2026
Brazil,Serie A,2026,18/03/2026,23:00,Atletico-MG,Sao Paulo,1.0,0.0,H,,,,2.45,3.2,3.4,2.31,3.01,3.2,2.4,3.2,3.6,2.3,3.0,3.4,2026
Brazil,Serie A,2026,18/03/2026,23:00,Mirassol,Coritiba,0.0,1.0,A,,,,1.67,3.75,6.25,1.63,3.6,5.43,1.72,3.85,6.0,1.57,3.6,6.25,2026
Brazil,Serie A,2026,19/03/2026,00:30,Santos,Internacional,1.0,2.0,A,,,,2.28,3.3,3.75,2.09,3.21,3.47,2.2,3.45,3.85,2.05,3.3,3.7,2026
Brazil,Serie A,2026,19/03/2026,00:30,Vasco,Fluminense,3.0,2.0,H,,,,3.7,3.25,2.2,3.52,3.11,2.11,3.85,3.3,2.26,3.7,3.1,2.1,2026
Brazil,Serie A,2026,19/03/2026,22:00,Gremio,Vitoria,2.0,0.0,H,,,,1.83,3.6,5.0,1.78,3.39,4.55,1.88,3.65,5.1,1.76,3.4,4.75,2026
Brazil,Serie A,2026,19/03/2026,23:00,Flamengo RJ,Remo,3.0,0.0,H,,,,1.17,8.5,19.0,1.14,7.42,16.04,1.16,9.6,24.0,1.13,7.5,17.0,2026
Brazil,Serie A,2026,20/03/2026,00:30,Chapecoense-SC,Corinthians,0.0,0.0,D,,,,3.4,3.2,2.33,3.24,3.1,2.25,3.6,3.2,2.4,3.4,3.1,2.25,2026
